level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
334,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
335,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
336,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
337,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
338,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
339,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
340,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
341,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
342,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
343,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
344,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
345,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
346,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
347,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
348,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
349,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
350,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
351,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
352,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
